date,organic,organic_proxy,tv_ad_spend_raw,social_ad_spend_raw,search_ad_spend_raw,conversion
2021-01-03,272,270.3163046609735,1418.6164256765992,5931.415946643387,5707.238400297308,351
2021-01-04,209,211.6116902019525,2390.7208402968145,2837.504859819409,4421.170800127316,296
2021-01-05,289,231.65090187796753,4653.089038769407,4066.729978093162,4631.66001952483,420
2021-01-06,377,412.6100368514836,2234.013683334428,4601.921824738673,8008.348061703959,513
2021-01-07,203,210.23970267176898,2147.6352452468805,2784.604761641781,3323.3548779970474,307
2021-01-08,204,224.5163439888637,1636.010484516236,4365.2631097666,3587.568644585226,306
2021-01-09,386,274.50233772113796,4357.905081250999,1470.2713953328457,6137.235534165509,508
2021-01-10,306,370.1247432925689,3079.4120156247227,6352.165218777488,3491.6954585772046,446
2021-01-11,183,180.87128133051777,1481.3106966511666,3030.4961334572713,3829.142256377919,289
2021-01-12,285,317.22168781119467,3273.7198757314927,2732.4944751393396,6714.3761765836425,406
2021-01-13,185,166.58216647786682,2865.526070956239,1889.1063833318635,4292.662384774857,293
2021-01-14,186,198.05776554576045,1759.3399585152383,4207.164385373908,4650.537866702039,295
2021-01-15,258,231.11508253591373,3141.0775741500483,2775.7880148466716,5669.270963658751,375
2021-01-16,43,41.01039998788814,267.6886639624235,429.07310217281974,734.9693947123227,95
2021-01-17,63,75.66451896561216,452.86123438106205,1277.6635793500232,1590.130911538462,105
2021-01-18,180,177.25837993318888,2063.138126908449,2985.861833957226,2142.227956578434,250
2021-01-19,136,139.55011777376717,1973.9076365729156,1472.2459880759664,1993.5238094801282,204
2021-01-20,270,293.72790646128243,2990.450325144707,4316.668778410306,3841.083075410865,377
2021-01-21,148,156.29863704495259,1349.3117980377797,1546.3718453037063,3943.374546722501,230
2021-01-22,99,100.90954346405532,993.9303315488055,1983.6800846877413,2550.642534801538,164
2021-01-23,388,402.2976434279215,2425.3522802264993,7675.77062798072,8897.480036175559,522
2021-01-24,219,272.76410756716473,2597.922567408459,3825.1290244135835,5812.581268564595,339
2021-01-25,250,248.71782407789382,3163.763342688594,4159.515976782596,3683.4201027428176,371
2021-01-26,101,103.89548885588087,,2334.8857582227242,2249.9678994893443,182
2021-01-27,190,210.84321518411937,1638.9224509441979,2861.6862889725053,3672.643342745209,274
2021-01-28,257,285.67628486276544,2777.5615327609394,2490.4664107514313,6451.860577731763,360
2021-01-29,131,147.61717384651587,1146.6579635845326,2246.2019395209345,2547.851347203092,207
2021-01-30,285,303.765015552396,2798.6270628686607,6963.219852076007,5051.079502902299,412
2021-01-31,188,167.21582024317587,3077.204265499742,1969.8103046748936,4388.629705910797,299
